Date,Value
2013/6/30,165.3371643
2013/5/31,163.9836976
2013/4/30,162.0094261
2013/3/31,160.1442327
2013/2/28,158.9978385
2013/1/31,158.5675794
2012/12/31,158.5650974
2012/11/30,158.7763471
2012/10/31,159.0740814
2012/9/30,159.4968411
2012/8/31,160.0236368
2012/7/31,160.1422094
2012/6/30,159.3015972
2012/5/31,157.6179347
2012/4/30,155.6253798
2012/3/31,153.9456342
2012/2/29,153.0333653
2012/1/31,152.8524037
2011/12/31,153.1666614
2011/11/30,153.8412151
2011/10/31,154.762014
2011/9/30,155.7216289
2011/8/31,156.5302029
2011/7/31,157.1845528
2011/6/30,157.5210759
2011/5/31,157.3074391
2011/4/30,156.7384319
2011/3/31,156.1819228
2011/2/28,155.8534793
2011/1/31,155.6852708
2010/12/31,155.504859
2010/11/30,155.3819111
2010/10/31,155.4292804
2010/9/30,155.74696
2010/8/31,156.3062613
2010/7/31,156.7521624
2010/6/30,156.7533541
2010/5/31,156.2073114
2010/4/30,155.1829858
2010/3/31,154.0328671
2010/2/28,153.1650775
2010/1/31,152.8229177
2009/12/31,153.1376228
2009/11/30,153.8419073
2009/10/31,154.6382258
2009/9/30,155.4267152
2009/8/31,156.0469908
2009/7/31,156.3824298
2009/6/30,156.208513
2009/5/31,155.5306812
2009/4/30,154.643483
2009/3/31,153.8699852
2009/2/28,153.4120204
2009/1/31,153.3881825
2008/12/31,154.023964
2008/11/30,155.2270328
2008/10/31,156.5869561
2008/9/30,157.8140537
2008/8/31,158.7258144
2008/7/31,158.9989164
2008/6/30,158.4603635
2008/5/31,157.2622265
2008/4/30,155.7889709
2008/3/31,154.6000742
2008/2/29,154.0603738
2008/1/31,154.329254
2007/12/31,155.5262168
2007/11/30,157.3304826
2007/10/31,159.1172898
2007/9/30,160.4788695
2007/8/31,161.2734376
2007/7/31,161.4699
2007/6/30,161.0172301
2007/5/31,159.9890192
2007/4/30,158.6816391
2007/3/31,157.4476915
2007/2/28,156.4221186
2007/1/31,155.7738833
2006/12/31,155.7157937
2006/11/30,156.0129757
2006/10/31,156.5311039
2006/9/30,157.2644178
2006/8/31,157.8079377
2006/7/31,157.6530561
2006/6/30,156.7013803
2006/5/31,155.335483
2006/4/30,153.7479182
2006/3/31,152.0759954
2006/2/28,150.6536294
2006/1/31,149.5937312
2005/12/31,148.9654567
2005/11/30,148.7769848
2005/10/31,148.6061507
2005/9/30,148.0466652
2005/8/31,146.9336085
2005/7/31,145.1584595
2005/6/30,143.0408856
2005/5/31,141.0930738
2005/4/30,139.3256603
2005/3/31,137.5693081
2005/2/28,136.0204084
2005/1/31,134.8279301
2004/12/31,133.8982655
2004/11/30,133.1567702
2004/10/31,132.6502313
2004/9/30,132.3570074
2004/8/31,131.8750615
2004/7/31,130.8633505
2004/6/30,129.3871422
2004/5/31,127.6404097
2004/4/30,125.88556
2004/3/31,124.4378894
2004/2/29,123.3673007
2004/1/31,122.5114132
2003/12/31,121.8152293
2003/11/30,121.362103
2003/10/31,121.2213929
2003/9/30,121.1571323
2003/8/31,120.6838034
2003/7/31,119.7158052
2003/6/30,118.5591097
2003/5/31,117.3537758
2003/4/30,116.2279276
2003/3/31,115.2583324
2003/2/28,114.3154179
2003/1/31,113.4756862
2002/12/31,112.8068158
2002/11/30,112.3104322
2002/10/31,112.0810693
2002/9/30,112.0368357
2002/8/31,111.9649718
2002/7/31,111.6563756
2002/6/30,111.0873714
2002/5/31,110.2754685
2002/4/30,109.191933
2002/3/31,108.064985
2002/2/28,107.1675874
2002/1/31,106.5419586
2001/12/31,106.1410282
2001/11/30,106.0291047
2001/10/31,106.1743856
2001/9/30,106.1631847
2001/8/31,105.7190456
2001/7/31,104.955164
2001/6/30,104.0393582
2001/5/31,103.1029113
2001/4/30,102.2108817
2001/3/31,101.4233018
2001/2/28,100.8139347
2001/1/31,100.3630684
2000/12/31,100
2000/11/30,99.74110684
2000/10/31,99.5493658
2000/9/30,99.36924097
2000/8/31,99.18046809
2000/7/31,98.94605501
2000/6/30,98.56943893
2000/5/31,98.00607285
2000/4/30,97.38143607
2000/3/31,96.83351068
2000/2/29,96.48960571
2000/1/31,96.3923201
1999/12/31,96.41503696
1999/11/30,96.54937842
1999/10/31,96.82254227
1999/9/30,97.05502938
1999/8/31,97.03925986
1999/7/31,96.77807997
1999/6/30,96.42940847
1999/5/31,95.9746137
1999/4/30,95.22646441
1999/3/31,94.33534504
1999/2/28,93.71151821
1999/1/31,93.47076214
