Date,Value
2016/9/30,465600
2016/8/31,470100
2016/7/31,474500
2016/6/30,480900
2016/5/31,491400
2016/4/30,503600
2016/2/29,518900
2016/1/31,516300
2015/12/31,514500
2015/11/30,513400
2015/10/31,512000
2015/9/30,510600
2015/8/31,501600
2015/7/31,502300
2015/6/30,502300
2015/5/31,501500
2015/4/30,500100
2015/3/31,495800
2015/2/28,492700
2015/1/31,493000
2014/12/31,494200
2014/11/30,490900
2014/10/31,486000
2014/9/30,479800
2014/8/31,473900
2014/7/31,467100
2014/6/30,461400
2014/5/31,455400
2014/4/30,450500
2014/3/31,450300
2014/2/28,446600
2014/1/31,431500
2013/12/31,420300
2013/11/30,422200
2013/10/31,424200
2013/9/30,419900
2013/8/31,420300
2013/7/31,422100
2013/6/30,412900
2013/5/31,399600
2013/4/30,392600
2013/3/31,389500
2013/2/28,384500
2013/1/31,377800
2012/12/31,369700
2012/11/30,364700
2012/10/31,363300
2012/9/30,368200
2012/8/31,370900
2012/7/31,363000
2012/6/30,350300
2012/5/31,352100
2012/4/30,358000
2012/3/31,357600
2012/2/29,356800
2012/1/31,354800
2011/12/31,345000
2011/11/30,343200
2011/10/31,347200
2011/9/30,348500
2011/8/31,346400
2011/7/31,348900
2011/6/30,353800
2011/5/31,354200
2011/4/30,347700
2011/3/31,348500
2011/2/28,353000
2011/1/31,358500
2010/12/31,361200
2010/11/30,354600
2010/10/31,347900
2010/9/30,350000
2010/8/31,354100
2010/7/31,355100
2010/6/30,357000
2010/5/31,356800
2010/4/30,359400
2010/3/31,357300
2010/2/28,347300
2010/1/31,347200
2009/12/31,362300
2009/11/30,370400
2009/10/31,367200
2009/9/30,366000
2009/8/31,369100
2009/7/31,369600
2009/6/30,366300
2009/5/31,362800
2009/4/30,360500
2009/3/31,356500
2009/2/28,353400
2009/1/31,349800
2008/12/31,345100
2008/11/30,341500
2008/10/31,339300
2008/9/30,335700
2008/8/31,331900
2008/7/31,329200
2008/6/30,327400
2008/5/31,326400
2008/4/30,327200
2008/3/31,331800
2008/2/29,339400
2008/1/31,343400
2007/12/31,342600
2007/11/30,341900
2007/10/31,341900
2007/9/30,339300
2007/8/31,336200
2007/7/31,334700
2007/6/30,335700
2007/5/31,337400
2007/4/30,336200
2007/3/31,331900
2007/2/28,329600
2007/1/31,329400
2006/12/31,328700
2006/11/30,327900
2006/10/31,327900
2006/9/30,326400
2006/8/31,324500
2006/7/31,326300
2006/6/30,328800
2006/5/31,324300
2006/4/30,316800
2006/3/31,313700
2006/2/28,314100
2006/1/31,312900
2005/12/31,311200
2005/11/30,310800
2005/10/31,312500
2005/9/30,313600
2005/8/31,312700
2005/7/31,309500
2005/6/30,306900
2005/5/31,307700
2005/4/30,310800
2005/3/31,312600
2005/2/28,311100
2005/1/31,310300
2004/12/31,310900
2004/11/30,310300
2004/10/31,306500
2004/9/30,302800
2004/8/31,299300
2004/7/31,294900
2004/6/30,289700
2004/5/31,286900
2004/4/30,285300
2004/3/31,282800
2004/2/29,278400
2004/1/31,271900
2003/12/31,265900
2003/11/30,263700
2003/10/31,263800
2003/9/30,262800
2003/8/31,261600
2003/7/31,261700
2003/6/30,263200
2003/5/31,264700
2003/4/30,265800
2003/3/31,266200
2003/2/28,265900
2003/1/31,265100
2002/12/31,264500
2002/11/30,263800
2002/10/31,263100
2002/9/30,262300
2002/8/31,261900
2002/7/31,263200
2002/6/30,265400
2002/5/31,266000
2002/4/30,264300
2002/3/31,261900
2002/2/28,260600
2002/1/31,259400
2001/12/31,257600
2001/11/30,255700
2001/10/31,254300
2001/9/30,253800
2001/8/31,253900
2001/7/31,253000
2001/6/30,251900
2001/5/31,252300
2001/4/30,253300
2001/3/31,254000
2001/2/28,255600
2001/1/31,258700
2000/12/31,261000
2000/11/30,260300
2000/10/31,257200
2000/9/30,253200
2000/8/31,249400
2000/7/31,247300
2000/6/30,246000
2000/5/31,243500
2000/4/30,241300
2000/3/31,241900
2000/2/29,243900
2000/1/31,245600
1999/12/31,246400
1999/11/30,246700
1999/10/31,247300
1999/9/30,249800
1999/8/31,251600
1999/7/31,251300
1999/6/30,251100
1999/5/31,251900
1999/4/30,250900
1999/3/31,247000
1999/2/28,241600
1999/1/31,237100
1998/12/31,234200
1998/11/30,232300
1998/10/31,232000
1998/9/30,231100
1998/8/31,229300
1998/7/31,226300
1998/6/30,221700
1998/5/31,217100
1998/4/30,214400
1998/3/31,212300
1998/2/28,210000
1998/1/31,207300
1997/12/31,204300
1997/11/30,202200
1997/10/31,201300
1997/9/30,201300
1997/8/31,201300
1997/7/31,200000
1997/6/30,196500
1997/5/31,192400
1997/4/30,189100
1997/3/31,186900
1997/2/28,185000
1997/1/31,183900
1996/12/31,183000
1996/11/30,181500
1996/10/31,179600
1996/9/30,178700
1996/8/31,178800
1996/7/31,179100
1996/6/30,178900
1996/5/31,178800
1996/4/30,178500
